id,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
20218037,83835882,Andi Und Maria,Mitte,Regierungsviertel,52.5106582641602,13.3793869018555,Private room,0,1,70,3,10
20448073,81030660,Isabell,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4901580810547,13.3767452239990,Private room,0,1,0,3,0
21154484,10246791,Jeanne,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5094146728516,13.4605550765991,Private room,0,3,0,1,0
20717658,127309004,Kim,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.5058364868164,13.4650707244873,Entire home/apt,0,3,4,4,230
20382969,34385521,René,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5214080810547,13.4537773132324,Private room,0,4,1,2,0
20317884,23943422,Stephan,Pankow,Prenzlauer Berg Süd,52.5365753173828,13.4294834136963,Entire home/apt,0,2,1,3,0
18612697,49435601,Svenja,Tempelhof - Schöneberg,Marienfelde,52.4203567504883,13.3662748336792,Private room,0,1,26,1,124
20671210,1210739,TRIO Apartment Hotel,Marzahn - Hellersdorf,Marzahn-Süd,52.5189285278320,13.5258941650391,Entire home/apt,0,3,3,17,343
22739713,167202681,Raafat,Mitte,Moabit Ost,52.5256385803223,13.3671846389771,Private room,1,1,87,1,5
21911198,159867873,Dhia,Steglitz - Zehlendorf,Albrechtstr.,52.4602394104004,13.3331899642944,Shared room,8,1,10,1,0
2161434,8864348,Maria,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5132255554199,13.4382028579712,Private room,8,15,1,1,0
16298466,80898392,Paolo,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.5045814514160,13.3971328735352,Private room,8,1,44,4,0
24452824,80898392,Paolo,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.5058364868164,13.3952503204346,Private room,8,1,35,4,0
10961123,56855980,Ann,Mitte,Brunnenstr. Nord,52.5503845214844,13.3846950531006,Private room,9,7,1,1,0
13630379,42990588,Babs,Neukölln,Rudow,52.4156799316406,13.4884128570557,Private room,9,2,0,1,0
25853319,194247858,Circle,Tempelhof - Schöneberg,Schöneberg-Süd,52.4805221557617,13.3464584350586,Shared room,9,60,0,1,279
24730795,10588246,Jacob,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5178947448730,13.4651174545288,Entire home/apt,9,1,6,4,0
18028772,8274829,Jens,Steglitz - Zehlendorf,Drakestr.,52.4263038635254,13.2811622619629,Private room,9,1,11,1,132
8021361,42350439,Jessy,Pankow,Prenzlauer Berg Südwest,52.5387191772461,13.4076404571533,Private room,9,1,0,1,0
17281529,62517389,Paul,Pankow,Prenzlauer Berg Südwest,52.5375061035156,13.4135923385620,Entire home/apt,9,95,26,1,0
28996273,190098008,R.Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4949493408203,13.3827657699585,Shared room,9,7,2,2,148
29045424,190098008,R.Cesar,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4965591430664,13.3809690475464,Shared room,9,3,1,2,144
2382613,6417948,Rex,Steglitz - Zehlendorf,Teltower Damm,52.4208106994629,13.2334938049316,Private room,9,54,5,1,0
28665983,20779009,Seli,Mitte,Brunnenstr. Nord,52.5449981689453,13.3716087341309,Private room,9,3,3,1,8
265402,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5106430053711,13.4456739425659,Shared room,9,1,10,14,276
265408,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5109252929688,13.4470624923706,Shared room,9,1,5,14,275
265416,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5099906921387,13.4465417861938,Shared room,9,1,58,14,319
265433,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5106010437012,13.4452419281006,Shared room,9,1,25,14,318
265444,1391772,Sunflower Hostel,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,52.5104446411133,13.4453268051147,Shared room,9,1,73,14,314
